cycle,action,heapMB,liveHandleCount,speedKmh,nan,relaunched,cycleError
0,crash-wall,56.1,299,0,false,false,""
1,free-drive,55.55,299,0,false,false,""
2,crash-ramp-lane,55.74,297,0,false,false,""
3,crash-wall,55.97,293,21.4,false,false,""
4,full-reset,56.2,299,66.8,false,false,""
5,crash-ramp-lane,55.82,295,0,false,false,""
6,crash-wall,55.82,287,22.7,false,false,""
7,free-drive,56.25,284,44.5,false,false,""
8,crash-ramp-lane,56.38,284,18.9,false,false,""
9,full-reset,56.32,299,66.6,false,false,""
10,free-drive,56.31,299,42.9,false,false,""
11,crash-ramp-lane,56.45,298,0,false,false,""
12,crash-wall,55.9,298,8.6,false,false,""
13,free-drive,55.91,289,44.8,false,false,""
14,full-reset,55.89,299,65.2,false,false,""
15,crash-wall,55.91,299,0,false,false,""
16,free-drive,56.32,299,0,false,false,""
17,crash-ramp-lane,56.2,295,24.4,false,false,""
18,crash-wall,56.36,293,0,false,false,""
19,full-reset,55.96,299,65.2,false,false,""
20,crash-ramp-lane,55.99,298,0,false,false,""
21,crash-wall,56,295,12.8,false,false,""
22,free-drive,56.33,287,44.7,false,false,""
23,crash-ramp-lane,55.96,283,937.4,false,false,""
24,full-reset,56.28,299,66.8,false,false,""
25,free-drive,55.96,299,42.7,false,false,""
26,crash-ramp-lane,56.68,298,20.3,false,false,""
27,crash-wall,56.01,292,10.6,false,false,""
28,free-drive,56.03,284,0.5,false,false,""
29,full-reset,56.02,299,66.8,false,false,""
30,crash-wall,56.47,299,0,false,false,""
31,free-drive,56.44,299,0,false,false,""
32,crash-ramp-lane,56.51,299,0,false,false,""
33,crash-wall,56.11,299,18.8,false,false,""
34,full-reset,56.46,299,66.8,false,false,""
35,crash-ramp-lane,56.1,298,21.8,false,false,""
36,crash-wall,56.23,293,16.7,false,false,""
37,free-drive,56.23,286,43.9,false,false,""
38,crash-ramp-lane,56.64,284,21.2,false,false,""
39,full-reset,56.11,299,204.2,false,false,""
40,free-drive,56.11,299,764.6,false,false,""
41,crash-ramp-lane,56.17,294,14.7,false,false,""
42,crash-wall,56.15,286,109.3,false,false,""
43,free-drive,56.15,286,386.6,false,false,""
44,full-reset,56.16,299,66.6,false,false,""
